id,linkrun,objid
14050e49-ce08-4ae8-bae2-3c2602dbfac1,wsdiff_S82_lon_gt_minus2,3146226
14050e49-ce08-4ae8-bae2-3c2602dbfac1,wsdiff_S82_lon_gt_minus2,3228361
14050e49-ce08-4ae8-bae2-3c2602dbfac1,wsdiff_S82_lon_gt_minus2,2506751
14050e49-ce08-4ae8-bae2-3c2602dbfac1,wsdiff_S82_lon_gt_minus2,2041979
14050e49-ce08-4ae8-bae2-3c2602dbfac1,wsdiff_S82_lon_gt_minus2,2654464
14050e49-ce08-4ae8-bae2-3c2602dbfac1,wsdiff_S82_lon_gt_minus2,3667138
14050e49-ce08-4ae8-bae2-3c2602dbfac1,wsdiff_S82_lon_gt_minus2,3801139
1e258b9c-1d86-4c55-863a-07bd17d234be,wsdiff_S82_lon_gt_minus2,3439120
1e258b9c-1d86-4c55-863a-07bd17d234be,wsdiff_S82_lon_gt_minus2,1683138
1e258b9c-1d86-4c55-863a-07bd17d234be,wsdiff_S82_lon_gt_minus2,2472035
1e258b9c-1d86-4c55-863a-07bd17d234be,wsdiff_S82_lon_gt_minus2,2412031
1e258b9c-1d86-4c55-863a-07bd17d234be,wsdiff_S82_lon_gt_minus2,3592749
1f616a22-7a96-4e5f-8302-281bb9a61a1f,wsdiff_S82_lon_gt_minus2,3201082
1f616a22-7a96-4e5f-8302-281bb9a61a1f,wsdiff_S82_lon_gt_minus2,3382745
1f616a22-7a96-4e5f-8302-281bb9a61a1f,wsdiff_S82_lon_gt_minus2,2048969
1f616a22-7a96-4e5f-8302-281bb9a61a1f,wsdiff_S82_lon_gt_minus2,3785201
1f616a22-7a96-4e5f-8302-281bb9a61a1f,wsdiff_S82_lon_gt_minus2,3818982
526a7137-a96c-4793-8b7f-d85f2ae53fbb,wsdiff_S82_lon_gt_minus2,3201092
526a7137-a96c-4793-8b7f-d85f2ae53fbb,wsdiff_S82_lon_gt_minus2,3382770
526a7137-a96c-4793-8b7f-d85f2ae53fbb,wsdiff_S82_lon_gt_minus2,2487705
526a7137-a96c-4793-8b7f-d85f2ae53fbb,wsdiff_S82_lon_gt_minus2,3652762
526a7137-a96c-4793-8b7f-d85f2ae53fbb,wsdiff_S82_lon_gt_minus2,3788610
04574171-ff3f-4806-b45a-8316af82ef47,wsdiff_S82_lon_gt_minus2,3112812
04574171-ff3f-4806-b45a-8316af82ef47,wsdiff_S82_lon_gt_minus2,3333059
04574171-ff3f-4806-b45a-8316af82ef47,wsdiff_S82_lon_gt_minus2,3757978
04574171-ff3f-4806-b45a-8316af82ef47,wsdiff_S82_lon_gt_minus2,3790909
303428d6-73dc-4e43-8631-381535b48509,wsdiff_S82_lon_gt_minus2,3218622
303428d6-73dc-4e43-8631-381535b48509,wsdiff_S82_lon_gt_minus2,1656897
303428d6-73dc-4e43-8631-381535b48509,wsdiff_S82_lon_gt_minus2,2450579
303428d6-73dc-4e43-8631-381535b48509,wsdiff_S82_lon_gt_minus2,2401358
303428d6-73dc-4e43-8631-381535b48509,wsdiff_S82_lon_gt_minus2,3592134
303428d6-73dc-4e43-8631-381535b48509,wsdiff_S82_lon_gt_minus2,2605313
303428d6-73dc-4e43-8631-381535b48509,wsdiff_S82_lon_gt_minus2,3785013
53823fcd-8dd3-4d23-9b1c-daac792c3d59,wsdiff_S82_lon_gt_minus2,3173623
53823fcd-8dd3-4d23-9b1c-daac792c3d59,wsdiff_S82_lon_gt_minus2,3314043
53823fcd-8dd3-4d23-9b1c-daac792c3d59,wsdiff_S82_lon_gt_minus2,2693460
53823fcd-8dd3-4d23-9b1c-daac792c3d59,wsdiff_S82_lon_gt_minus2,2701089
53823fcd-8dd3-4d23-9b1c-daac792c3d59,wsdiff_S82_lon_gt_minus2,3819873
53823fcd-8dd3-4d23-9b1c-daac792c3d59,wsdiff_S82_lon_gt_minus2,3789639
9b0a9e6d-7932-4a4c-bef2-2a46f1bbada3,wsdiff_S82_lon_gt_minus2,2198998
9b0a9e6d-7932-4a4c-bef2-2a46f1bbada3,wsdiff_S82_lon_gt_minus2,2438640
9b0a9e6d-7932-4a4c-bef2-2a46f1bbada3,wsdiff_S82_lon_gt_minus2,3452940
9b0a9e6d-7932-4a4c-bef2-2a46f1bbada3,wsdiff_S82_lon_gt_minus2,3473503
9b0a9e6d-7932-4a4c-bef2-2a46f1bbada3,wsdiff_S82_lon_gt_minus2,2619290
9b0a9e6d-7932-4a4c-bef2-2a46f1bbada3,wsdiff_S82_lon_gt_minus2,3803239
a6881eb4-83fd-45bf-a60f-49393c5b1075,wsdiff_S82_lon_gt_minus2,3108000
a6881eb4-83fd-45bf-a60f-49393c5b1075,wsdiff_S82_lon_gt_minus2,3119877
a6881eb4-83fd-45bf-a60f-49393c5b1075,wsdiff_S82_lon_gt_minus2,2094508
a6881eb4-83fd-45bf-a60f-49393c5b1075,wsdiff_S82_lon_gt_minus2,3211882
a6881eb4-83fd-45bf-a60f-49393c5b1075,wsdiff_S82_lon_gt_minus2,3482739
a6881eb4-83fd-45bf-a60f-49393c5b1075,wsdiff_S82_lon_gt_minus2,3783503
a6881eb4-83fd-45bf-a60f-49393c5b1075,wsdiff_S82_lon_gt_minus2,3655755
604d4883-5c64-41d2-ad07-356d29ae329c,wsdiff_S82_lon_gt_minus2,3203865
604d4883-5c64-41d2-ad07-356d29ae329c,wsdiff_S82_lon_gt_minus2,3680610
604d4883-5c64-41d2-ad07-356d29ae329c,wsdiff_S82_lon_gt_minus2,3778883
604d4883-5c64-41d2-ad07-356d29ae329c,wsdiff_S82_lon_gt_minus2,3821917
604d4883-5c64-41d2-ad07-356d29ae329c,wsdiff_S82_lon_gt_minus2,3775476
ef5bbf15-13d6-4659-942c-006b7c0d20ae,wsdiff_S82_lon_gt_minus2,2053252
ef5bbf15-13d6-4659-942c-006b7c0d20ae,wsdiff_S82_lon_gt_minus2,2646099
ef5bbf15-13d6-4659-942c-006b7c0d20ae,wsdiff_S82_lon_gt_minus2,3823009
50e5078f-96c0-4dbc-a179-c2d8cbd16281,wsdiff_S82_lon_gt_minus2,2056986
50e5078f-96c0-4dbc-a179-c2d8cbd16281,wsdiff_S82_lon_gt_minus2,3777487
50e5078f-96c0-4dbc-a179-c2d8cbd16281,wsdiff_S82_lon_gt_minus2,3649620
50e5078f-96c0-4dbc-a179-c2d8cbd16281,wsdiff_S82_lon_gt_minus2,3798535
2d0b877d-c96e-49dc-9bf6-1241df3ef060,wsdiff_S82_lon_gt_minus2,3376211
2d0b877d-c96e-49dc-9bf6-1241df3ef060,wsdiff_S82_lon_gt_minus2,2432509
2d0b877d-c96e-49dc-9bf6-1241df3ef060,wsdiff_S82_lon_gt_minus2,2392814
2d0b877d-c96e-49dc-9bf6-1241df3ef060,wsdiff_S82_lon_gt_minus2,3538589
2d0b877d-c96e-49dc-9bf6-1241df3ef060,wsdiff_S82_lon_gt_minus2,3553086
2d0b877d-c96e-49dc-9bf6-1241df3ef060,wsdiff_S82_lon_gt_minus2,3778649
cf10051e-c5f9-4ace-8b62-34fc4c652fc6,wsdiff_S82_lon_gt_minus2,2452288
cf10051e-c5f9-4ace-8b62-34fc4c652fc6,wsdiff_S82_lon_gt_minus2,1965563
cf10051e-c5f9-4ace-8b62-34fc4c652fc6,wsdiff_S82_lon_gt_minus2,2631462
cf10051e-c5f9-4ace-8b62-34fc4c652fc6,wsdiff_S82_lon_gt_minus2,3803868
cf10051e-c5f9-4ace-8b62-34fc4c652fc6,wsdiff_S82_lon_gt_minus2,3810218
3f99209d-d217-4611-a965-56a97877db9d,wsdiff_S82_lon_gt_minus2,3319980
3f99209d-d217-4611-a965-56a97877db9d,wsdiff_S82_lon_gt_minus2,2702983
3f99209d-d217-4611-a965-56a97877db9d,wsdiff_S82_lon_gt_minus2,3575879
3f99209d-d217-4611-a965-56a97877db9d,wsdiff_S82_lon_gt_minus2,3827804
c6fb1631-2f28-43aa-bd8b-f202b709f8f8,wsdiff_S82_lon_gt_minus2,3243081
c6fb1631-2f28-43aa-bd8b-f202b709f8f8,wsdiff_S82_lon_gt_minus2,3454758
c6fb1631-2f28-43aa-bd8b-f202b709f8f8,wsdiff_S82_lon_gt_minus2,2472036
c6fb1631-2f28-43aa-bd8b-f202b709f8f8,wsdiff_S82_lon_gt_minus2,2412032
c6fb1631-2f28-43aa-bd8b-f202b709f8f8,wsdiff_S82_lon_gt_minus2,3595675
c6fb1631-2f28-43aa-bd8b-f202b709f8f8,wsdiff_S82_lon_gt_minus2,2608096
c6fb1631-2f28-43aa-bd8b-f202b709f8f8,wsdiff_S82_lon_gt_minus2,3797405
afbe1c48-0518-402f-9a3b-d1ca041c91bb,wsdiff_S82_lon_gt_minus2,2435692
afbe1c48-0518-402f-9a3b-d1ca041c91bb,wsdiff_S82_lon_gt_minus2,2396813
afbe1c48-0518-402f-9a3b-d1ca041c91bb,wsdiff_S82_lon_gt_minus2,3247272
afbe1c48-0518-402f-9a3b-d1ca041c91bb,wsdiff_S82_lon_gt_minus2,3507100
afbe1c48-0518-402f-9a3b-d1ca041c91bb,wsdiff_S82_lon_gt_minus2,3786150
afbe1c48-0518-402f-9a3b-d1ca041c91bb,wsdiff_S82_lon_gt_minus2,3659931
046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,wsdiff_S82_lon_gt_minus2,2411015
046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,wsdiff_S82_lon_gt_minus2,3418219
046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,wsdiff_S82_lon_gt_minus2,3429710
046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,wsdiff_S82_lon_gt_minus2,2614233
046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,wsdiff_S82_lon_gt_minus2,3792011
5437add6-9e4d-4cda-ae88-d7e8fd2a98a1,wsdiff_S82_lon_gt_minus2,3238761
