,tmpid,designation,ra-hms,dec-dms,v,offset_ra,offset_dec,motion_ra,motion_dec,orbit,comment,id,linkrun,objid,date_obs,ra,dec,expnum,exptime,band,ccd,mag,nite,fakeid,date_added,obscode
38,000635, (10915) 1997 YU16       ,00 06 04.5 ,-04 12 28  ,18.1   ,6.7E   ,7.0N    ,31-    ,11-  , 19o  ,None needed at this time.,0a934a09-0b24-4319-87f6-b1e554dd69b0,wsdiff_S82_lon_gt_minus2,1624204,2013-10-04 05:27:04,0:05:37.79,-4:19:27.2,241143,90.0,i,14,21.9444007874,20131003,0,2016-02-21 02:18:07,807
39,000636, (18023) 1999 JQ129      ,00 04 27.8 ,-04 19 25  ,16.8   ,4.6W   ,4.5N    ,16-    ,25-  , 17o  ,None needed at this time.,0a934a09-0b24-4319-87f6-b1e554dd69b0,wsdiff_S82_lon_gt_minus2,3690474,2013-10-13 03:15:20,0:04:46.37,-4:23:53.6,243527,90.0,z,19,21.7188987732,20131012,0,2016-02-21 02:18:07,807
40,000637,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0a934a09-0b24-4319-87f6-b1e554dd69b0,wsdiff_S82_lon_gt_minus2,3803785,2013-11-08 03:44:39,0:02:40.57,-4:33:02.6,251794,90.0,i,14,22.058599472,20131107,0,2016-02-21 02:18:07,807
41,000588,         2002 RR219      ,23 52 19.4 ,+01 32 32  ,19.7   ,7.2W   ,2.8S    ,32-    , 4-  ,  7o  ,"Very desirable between 2016 Mar. 5-Apr. 4.  (175.6,+10.0,20.6)",0b80883d-07f8-4020-a79b-90063d7e77f2,wsdiff_S82_lon_gt_minus2,3354448,2013-09-30 03:08:02,23:52:48.26,1:35:19.6,239640,90.0,r,38,22.2397003174,20130929,0,2016-02-21 02:18:07,807
42,000588,         2006 VV148      ,23 52 19.6 ,+01 31 26  ,19.3   ,7.2W   ,3.9S    ,30-    ,16-  ,  6o  ,"Desirable between 2016 Feb. 25-Mar. 26.  ( 79.1,-22.4,23.2)",0b80883d-07f8-4020-a79b-90063d7e77f2,wsdiff_S82_lon_gt_minus2,3354448,2013-09-30 03:08:02,23:52:48.26,1:35:19.6,239640,90.0,r,38,22.2397003174,20130929,0,2016-02-21 02:18:07,807
43,000588,(196583) 2003 QM48       ,23 53 14.9 ,+01 29 20  ,19.6   ,6.7E   ,6.0S    ,29-    ,12-  ,  9o  ,None needed at this time.,0b80883d-07f8-4020-a79b-90063d7e77f2,wsdiff_S82_lon_gt_minus2,3354448,2013-09-30 03:08:02,23:52:48.26,1:35:19.6,239640,90.0,r,38,22.2397003174,20130929,0,2016-02-21 02:18:07,807
44,000589,         2002 RR219      ,23 52 19.2 ,+01 32 31  ,19.7   ,7.3W   ,2.8S    ,32-    , 4-  ,  7o  ,"Very desirable between 2016 Mar. 5-Apr. 4.  (175.6,+10.0,20.6)",0b80883d-07f8-4020-a79b-90063d7e77f2,wsdiff_S82_lon_gt_minus2,3196215,2013-09-30 03:14:27,23:52:48.24,1:35:19.3,239643,90.0,i,38,21.6958999634,20130929,0,2016-02-21 02:18:07,807
45,000589,         2006 VV148      ,23 52 19.4 ,+01 31 24  ,19.3   ,7.2W   ,3.9S    ,30-    ,16-  ,  6o  ,"Desirable between 2016 Feb. 25-Mar. 26.  ( 79.1,-22.4,23.2)",0b80883d-07f8-4020-a79b-90063d7e77f2,wsdiff_S82_lon_gt_minus2,3196215,2013-09-30 03:14:27,23:52:48.24,1:35:19.3,239643,90.0,i,38,21.6958999634,20130929,0,2016-02-21 02:18:07,807
46,000589,(196583) 2003 QM48       ,23 53 14.7 ,+01 29 19  ,19.6   ,6.6E   ,6.0S    ,29-    ,12-  ,  9o  ,None needed at this time.,0b80883d-07f8-4020-a79b-90063d7e77f2,wsdiff_S82_lon_gt_minus2,3196215,2013-09-30 03:14:27,23:52:48.24,1:35:19.3,239643,90.0,i,38,21.6958999634,20130929,0,2016-02-21 02:18:07,807
47,000591,(189481) 1999 UD38       ,23 52 06.8 ,+01 37 43  ,19.2   ,0.6E   ,7.2N    ,20-    ,21-  ,  9o  ,None needed at this time.,0b80883d-07f8-4020-a79b-90063d7e77f2,wsdiff_S82_lon_gt_minus2,2207464,2013-10-12 02:22:03,23:52:04.32,1:30:32.0,243094,90.0,i,15,21.6963996887,20131011,0,2016-02-21 02:18:07,807
48,000592,(153623) 2001 TF35       ,23 50 51.5 ,+01 32 08  ,19.9   ,5.2W   ,7.4N    ,11-    , 0+  ,  8o  ,None needed at this time.,0b80883d-07f8-4020-a79b-90063d7e77f2,wsdiff_S82_lon_gt_minus2,2619897,2013-10-28 00:54:07,23:51:12.48,1:24:41.5,247483,90.0,i,46,21.740398407,20131027,0,2016-02-21 02:18:07,807
49,000665, (85785) 1998 VV11       ,00 12 42.4 ,+02 51 43  ,18.5   ,8.1W   ,2.2S    , 4-    ,22-  , 11o  ,None needed at this time.,0fce9bca-eac6-48cd-a990-1c218e7d1528,wsdiff_S82_lon_gt_minus2,3797737,2013-10-28 01:34:59,0:13:14.84,2:53:57.7,247503,90.0,r,29,22.003200531,20131027,0,2016-02-21 02:18:07,807
50,000665,(152786) 1999 TS         ,00 13 32.5 ,+03 02 33  ,18.7   ,4.4E   ,8.6N    , 7-    ,15-  , 13o  ,None needed at this time.,0fce9bca-eac6-48cd-a990-1c218e7d1528,wsdiff_S82_lon_gt_minus2,3797737,2013-10-28 01:34:59,0:13:14.84,2:53:57.7,247503,90.0,r,29,22.003200531,20131027,0,2016-02-21 02:18:07,807
51,000666, (65491) 2084 P-L        ,00 12 27.3 ,+02 52 44  ,18.9   ,1.3W   ,3.7N    ,18+    , 8+  , 12o  ,None needed at this time.,0fce9bca-eac6-48cd-a990-1c218e7d1528,wsdiff_S82_lon_gt_minus2,3807067,2013-11-08 03:07:15,0:12:32.36,2:49:03.1,251777,90.0,r,6,22.0298995972,20131107,0,2016-02-21 02:18:07,807
52,000666, (30369) 2000 JU58       ,00 12 03.5 ,+02 46 47  ,18.4   ,7.2W   ,2.3S    , 0+    , 9-  , 15o  ,None needed at this time.,0fce9bca-eac6-48cd-a990-1c218e7d1528,wsdiff_S82_lon_gt_minus2,3807067,2013-11-08 03:07:15,0:12:32.36,2:49:03.1,251777,90.0,r,6,22.0298995972,20131107,0,2016-02-21 02:18:07,807
53,000273,(254554) 2005 EB264      ,00 03 27.0 ,+01 44 27  ,19.6   ,2.1E   ,4.0S    ,35-    ,21-  ,  8o  ,None needed at this time.,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3102918,2013-09-30 03:10:13,0:03:18.78,1:48:24.6,239641,90.0,r,23,21.1608009338,20130929,0,2016-02-21 02:18:07,807
54,000273,         2010 FS115      ,00 02 53.2 ,+01 44 00  ,       ,6.4W   ,4.4S    ,26-    ,26-  ,  1d  ,Leave for survey recovery.,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3102918,2013-09-30 03:10:13,0:03:18.78,1:48:24.6,239641,90.0,r,23,21.1608009338,20130929,0,2016-02-21 02:18:07,807
55,000274,(254554) 2005 EB264      ,00 03 27.0 ,+01 44 27  ,19.6   ,2.0E   ,4.0S    ,35-    ,21-  ,  8o  ,None needed at this time.,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3115162,2013-09-30 03:12:19,0:03:18.78,1:48:24.6,239642,90.0,i,23,20.7429008484,20130929,0,2016-02-21 02:18:07,807
56,000274,         2010 FS115      ,00 02 53.2 ,+01 43 59  ,       ,6.4W   ,4.4S    ,26-    ,26-  ,  1d  ,Leave for survey recovery.,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3115162,2013-09-30 03:12:19,0:03:18.78,1:48:24.6,239642,90.0,i,23,20.7429008484,20130929,0,2016-02-21 02:18:07,807
57,000275,         2012 FP63       ,00 02 24.9 ,+01 41 17  ,19.7   ,4.8E   ,5.2N    ,23-    , 6-  , 12o  ,"Very desirable between 2016 Feb. 25-Mar. 26.  (145.9,-04.1,20.9)",0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3350985,2013-10-13 01:18:43,0:02:05.53,1:36:04.5,243472,90.0,z,58,20.4986991882,20131012,0,2016-02-21 02:18:07,807
58,000275, (69843) 1998 SL22       ,00 02 34.8 ,+01 40 00  ,18.9   ,7.3E   ,3.9N    ,23-    ,10-  , 16o  ,None needed at this time.,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3350985,2013-10-13 01:18:43,0:02:05.53,1:36:04.5,243472,90.0,z,58,20.4986991882,20131012,0,2016-02-21 02:18:07,807
59,000276,         2012 FP63       ,00 02 22.5 ,+01 41 07  ,19.7   ,4.3E   ,5.1N    ,23-    , 6-  , 12o  ,"Very desirable between 2016 Feb. 25-Mar. 26.  (145.9,-04.1,20.9)",0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3763850,2013-10-13 02:34:31,0:02:05.24,1:36:01.6,243508,90.0,i,58,20.8262996674,20131012,0,2016-02-21 02:18:07,807
60,000276, (69843) 1998 SL22       ,00 02 32.7 ,+01 39 46  ,18.9   ,6.9E   ,3.7N    ,23-    ,10-  , 16o  ,None needed at this time.,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3763850,2013-10-13 02:34:31,0:02:05.24,1:36:01.6,243508,90.0,i,58,20.8262996674,20131012,0,2016-02-21 02:18:07,807
61,000277,(137360) 1999 TF114      ,00 00 19.9 ,+01 25 22  ,19.1   ,7.4W   ,2.8N    , 2-    , 9+  ,  9o  ,None needed at this time.,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3774803,2013-10-28 01:41:02,0:00:49.61,1:22:36.3,247506,90.0,r,11,21.3357009888,20131027,0,2016-02-21 02:18:07,807
62,000278,(137360) 1999 TF114      ,00 00 19.8 ,+01 25 22  ,19.1   ,7.4W   ,2.8N    , 2-    , 9+  ,  9o  ,None needed at this time.,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,wsdiff_S82_lon_gt_minus2,3649792,2013-10-28 01:45:05,0:00:49.60,1:22:36.4,247508,90.0,i,11,20.8749008179,20131027,0,2016-02-21 02:18:07,807
63,000746,(143839) 2003 XL16       ,23 57 18.2 ,+01 16 50  ,18.7   ,5.9W   ,4.6N    ,33-    ,25-  , 10o  ,None needed at this time.,100f42b0-fe92-49a7-b82a-e40be8c6f592,wsdiff_S82_lon_gt_minus2,3299171,2013-09-30 03:33:40,23:57:41.96,1:12:15.8,239652,90.0,i,12,23.9689998627,20130929,0,2016-02-21 02:18:07,807
64,000747,  (7243) 1990 VV3        ,23 56 42.8 ,+01 06 20  ,16.7   ,1.8W   ,0.6N    ,25-    , 8-  , 18o  ,None needed at this time.,100f42b0-fe92-49a7-b82a-e40be8c6f592,wsdiff_S82_lon_gt_minus2,3528062,2013-10-13 01:56:29,23:56:50.19,1:05:45.9,243490,90.0,i,43,22.8334999084,20131012,0,2016-02-21 02:18:07,807
65,000748,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,100f42b0-fe92-49a7-b82a-e40be8c6f592,wsdiff_S82_lon_gt_minus2,3651570,2013-10-28 01:45:05,23:55:56.87,0:58:51.3,247508,90.0,i,19,23.2766990662,20131027,0,2016-02-21 02:18:07,807
66,000215,         2009 SL47       ,23 51 49.0 ,+02 05 27  ,19.9   ,7.0W   ,1.5N    ,33-    ,10-  ,  3o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (161.3,+01.3,21.6)",137ef3bd-b31e-439d-bb8c-6a1c144877cd,wsdiff_S82_lon_gt_minus2,3281014,2013-09-30 03:08:02,23:52:16.97,2:03:56.0,239640,90.0,r,18,21.9390983582,20130929,0,2016-02-21 02:18:07,807
67,000215, (45937) 2000 YD133      ,23 52 44.6 ,+01 59 28  ,18.0   ,6.9E   ,4.5S    ,29-    ,11-  , 15o  ,None needed at this time.,137ef3bd-b31e-439d-bb8c-6a1c144877cd,wsdiff_S82_lon_gt_minus2,3281014,2013-09-30 03:08:02,23:52:16.97,2:03:56.0,239640,90.0,r,18,21.9390983582,20130929,0,2016-02-21 02:18:07,807
