id,linkrun,chisq,ndof,a,e,i,aop,node,peri_jd,peri_date,epoch_jd,mean_anomaly,period,period_err,a_err,e_err,i_err,aop_err,node_err,peri_err,lat0,lon0,xBary,yBary,zBary,abg_a,abg_b,abg_g,abg_adot,abg_bdot,abg_gdot,abg_a_err,abg_b_err,abg_g_err,abg_adot_err,abg_bdot_err,abg_gdot_err
80a9006b-5396-49f6-b7af-420d34d464a6,wsdiff_S82_lon_gt_minus2,0.6,1,59.163,0.3528,18.1938,358.76,355.705,2455293.3,40273.30489055114,2456578.55,2.7854904106969665,455.072,25.183,2.18,0.0245,0.6222,119.27,0.17,24569.97,0.0278,-0.0011,-0.3347,0.0262,-0.9392,1.7724314823138162e-05,5.701936262271738e-06,0.026730161053063577,0.029977674191409242,0.009820668687899457,0.0006363628813945834,9.6637006516577484e-07,6.7627267719100855e-07,0.00015932295981842053,0.00095002493710298814,1.6644856331632244e-05,0.017089878050218898
65fe9818-522c-4ab8-a633-46e9d1bd2aaf,wsdiff_S82_lon_gt_minus2,1.33,5,41.681,0.0245,13.9719,14.32,352.235,2458568.47,43548.47154157376,2456565.65,352.65931375983007,269.092,206.473,21.32,0.9574,4.7989,8970.39,2.284,2327991.35,0.0285,-0.0271,-0.1457,0.0283,-0.9906,1.5223310849763954e-05,4.202275427712266e-06,0.025202736793415337,0.024411187212830116,0.006036101648292177,-0.00016424194638709649,5.4706823177464157e-06,5.0576944759242989e-07,0.0013969572726871366,0.0086753014300967983,6.2797687273029532e-05,0.096089206451631784
f5d3784f-bc20-4d9a-b11f-094aa8fac20c,wsdiff_S82_lon_gt_minus2,4.28,9,59.25,0.2715,21.8538,322.79,356.446,2445676.75,30656.754356550053,2456565.65,23.547333153840086,456.076,96.148,8.33,0.3024,0.6519,89.16,0.12,19887.95,0.0262,-0.0007,-0.1195,0.0261,-0.9941,1.4264886013405634e-05,5.688127071928089e-06,0.02243369807506141,0.021297668655339105,0.008517625765872401,0.0033495767374375233,6.4968908350072914e-07,4.3658944126140475e-07,0.00010229453845866895,0.00066652069800167131,7.5604757677964216e-06,0.0098856704007727787
929fb81c-dc2d-46c6-b10c-c56e6dfaadff,wsdiff_S82_lon_gt_minus2,1.16,7,41.337,0.4251,2.5372,248.25,224.47,2473714.11,58694.110858626664,2456565.65,296.3634121960709,265.774,208.115,21.58,0.4864,0.3514,49.84,7.914,11373.37,0.0321,-0.013,-0.1317,0.032,-0.9924,1.3800623786220363e-05,-7.045531565200252e-07,0.025173630517237117,0.02257642514560242,-0.0006970640939942563,-0.01069079232016712,3.1630732593210707e-06,5.0292669180348352e-07,0.00080964166868938115,0.004899127915653766,4.5147283708816727e-05,0.01402583141826653
84efda8c-e235-47cd-8669-bc9545858d0e,wsdiff_S82_lon_gt_minus2,1.5,7,44.07,0.3047,2.9942,110.43,303.191,2465001.15,49981.148283849005,2456577.62,331.60316694269784,292.563,177.696,17.84,0.5297,0.0264,62.15,0.794,5751.84,0.0456,0.0119,-0.3073,0.0434,-0.9483,1.883797546473058e-05,7.457668550599184e-07,0.030524871237169404,0.03591538907222543,0.0010204395417667208,-0.007651541182741428,7.008977472041699e-07,3.6325841087636786e-07,0.00019280774422113749,0.0011785091137223897,3.4494289738413267e-05,0.01865799663451256
b8356f02-906b-4178-a97b-9438f3399da5,wsdiff_S82_lon_gt_minus2,0.53,1,62.306,0.3075,2.2479,76.61,269.221,2453172.72,38152.717241455335,2456577.6,6.828148733550198,491.806,308.713,26.07,0.3231,0.0021,142.94,5.644,35857.12,0.0401,-0.0195,-0.3366,0.0378,-0.9385,1.69940152628861e-05,1.1271805056232307e-07,0.023536700505745824,0.025604439563235184,4.912568468959105e-06,0.0012146833453454701,3.4474154481715101e-06,5.2346781358474514e-07,0.00081817194528944397,0.0045088134339117064,0.00010189516149044428,0.015221302452147725
38845d93-2e8e-4bb0-8546-522052fce711,wsdiff_S82_lon_gt_minus2,0.1,1,38.322,0.4854,38.2672,292.27,181.504,2470624.09,55604.08778466331,2456565.64,301.55371038298102,237.233,187.033,20.14,0.4698,14.8604,41.96,1.431,7713.21,0.0377,-0.0241,-0.1425,0.0374,-0.9908,1.13690950791623e-05,-8.952974005592284e-06,0.027702427897619616,0.0199160087030741,-0.01570656433094445,-0.014174169752080489,6.1050862442337369e-06,7.1621418789887721e-07,0.0017512275347307277,0.010552857099122999,0.00010833558351288815,0.015214884061695201
bf271b15-fc49-4c68-937e-b208ced0165e,wsdiff_S82_lon_gt_minus2,0.92,3,54.247,0.2631,2.2887,133.51,291.989,2472698.91,57678.90864264732,2456565.63,320.17477208783981,399.539,249.228,22.56,0.641,0.0113,51.0,0.72,2815.19,0.0381,0.0111,-0.1074,0.038,-0.9951,1.566327639101187e-05,6.017926007851737e-07,0.02252463763305718,0.02215611055159878,0.0003263625644763915,-0.004793131335818449,7.8129404010817682e-07,5.0403356127484964e-07,0.00012264449138896992,0.00081486905994418413,1.6504113863240034e-05,0.013417640299435025
a0615e7a-4539-4676-8cc5-202de856b8b9,wsdiff_S82_lon_gt_minus2,3.62,9,52.966,0.3035,26.4116,171.55,186.299,2455238.54,40218.53578357492,2456565.66,3.3955568594932077,385.474,17.366,1.59,0.0097,0.6229,53.4,0.044,10628.21,0.0143,0.081,-0.0381,0.0144,-1.0008,1.6923911349137324e-05,-8.953171165241754e-06,0.02781689271038696,0.029400544065254133,-0.014594220195542865,0.0008513009702055144,6.3793237877563134e-07,4.4089473022021219e-07,0.00011889778140266195,0.00077220568324342677,1.6425065004023787e-05,0.0070850272068068518
174ba6f8-84e4-4271-8e0e-b32e6ee2615d,wsdiff_S82_lon_gt_minus2,2.95,5,58.534,0.1919,1.3002,155.99,288.957,2484690.71,69670.7055832087,2456565.63,298.059148375532,447.828,309.054,26.93,0.8865,0.0134,12.75,1.883,26049.59,0.0221,0.0272,-0.0914,0.0221,-0.9972,1.3071449018427135e-05,4.6029307545587e-07,0.018469095298238307,0.015806608510405728,0.00010847087341129717,-0.0029735415516870616,1.1773623921787664e-06,4.6344032179256187e-07,0.00018590425366923842,0.0011743269347630847,1.463177346157071e-05,0.013466537979476521
