,objid,id,ra,dec,mag,designation,mpcRA,mpcDec,v,offsetRA,offsetDec,motion_ra,motion_dec,orbit,comment,distance
37,3797737,0fce9bca-eac6-48cd-a990-1c218e7d1528,0:13:14.84,2:53:57.7,22.003200531,         2009 WA181      ,00 13 03.3 ,+02 50 59  ,20.8   ,2.9W   ,3.0S    ,15-    ,11-  ,  4d  ,Leave for survey recovery.,0.00120544163217
38,3797737,0fce9bca-eac6-48cd-a990-1c218e7d1528,0:13:14.84,2:53:57.7,22.003200531,         2015 BK18       ,00 13 13.2 ,+02 49 10  ,21.6   ,0.4W   ,4.8S    ,19-    , 7-  ,  5o  ,"Desirable between 2016 Feb. 25-Mar. 26.  ( 90.0,-22.8,22.9)",0.00139988591626
39,3807067,0fce9bca-eac6-48cd-a990-1c218e7d1528,0:12:32.36,2:49:03.1,22.0298995972,         2008 RQ118      ,00 12 42.0 ,+02 49 31  ,22.1   ,2.4E   ,0.5N    , 1-    , 0-  , 42d  ,"Desirable between 2016 Feb. 25-Mar. 11.  (147.4,-04.4,22.8)",0.000713136195179
40,3807067,0fce9bca-eac6-48cd-a990-1c218e7d1528,0:12:32.36,2:49:03.1,22.0298995972, (65491) 2084 P-L        ,00 12 27.3 ,+02 52 44  ,18.9   ,1.3W   ,3.7N    ,18+    , 8+  , 12o  ,None needed at this time.,0.0011322594436
41,3807067,0fce9bca-eac6-48cd-a990-1c218e7d1528,0:12:32.36,2:49:03.1,22.0298995972,         2008 EM162      ,00 12 45.4 ,+02 46 26  ,22.7   ,3.2E   ,2.6S    , 9-    , 1+  ,  4o  ,"Desirable between 2016 Feb. 25-Mar. 26.  At the first date, object will be within 60 deg of the sun.",0.00121541106689
42,3102918,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,0:03:18.78,1:48:24.6,21.1608009338,(403774) 2011 FO94       ,00 03 11.5 ,+01 47 13  ,21.3   ,1.8W   ,1.2S    ,30-    ,12-  ,  4o  ,None needed at this time.,0.000632853191165
43,3102918,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,0:03:18.78,1:48:24.6,21.1608009338,(254554) 2005 EB264      ,00 03 27.0 ,+01 44 27  ,19.6   ,2.1E   ,4.0S    ,35-    ,21-  ,  8o  ,None needed at this time.,0.00129765416253
44,3115162,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,0:03:18.78,1:48:24.6,20.7429008484,(403774) 2011 FO94       ,00 03 11.5 ,+01 47 13  ,21.3   ,1.8W   ,1.2S    ,30-    ,12-  ,  4o  ,None needed at this time.,0.000632853191165
45,3115162,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,0:03:18.78,1:48:24.6,20.7429008484,(254554) 2005 EB264      ,00 03 27.0 ,+01 44 27  ,19.6   ,2.0E   ,4.0S    ,35-    ,21-  ,  8o  ,None needed at this time.,0.00129765416253
46,3350985,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,0:02:05.53,1:36:04.5,20.4986991882,(421171) 2013 RW47       ,00 01 53.0 ,+01 37 43  ,21.0   ,3.1W   ,1.6N    ,26-    , 7-  ,  7o  ,None needed at this time.,0.00102843821587
47,3763850,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,0:02:05.24,1:36:01.6,20.8262996674,(421171) 2013 RW47       ,00 01 50.4 ,+01 37 32  ,21.0   ,3.7W   ,1.5N    ,26-    , 7-  ,  7o  ,None needed at this time.,0.00116439750186
48,3774803,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,0:00:49.61,1:22:36.3,21.3357009888,         2015 FM289      ,00 00 34.5 ,+01 20 48  ,22.4   ,3.8W   ,1.8S    ,13-    ,10-  ,  3o  ,"Desirable between 2016 Feb. 25-Mar. 26.  At the first date, object will be within 60 deg of the sun.",0.00121754950934
49,3649792,0fe38994-23cb-4121-aa2c-3f72ab17fbf9,0:00:49.60,1:22:36.4,20.8749008179,         2015 FM289      ,00 00 34.4 ,+01 20 47  ,22.4   ,3.8W   ,1.8S    ,13-    ,10-  ,  3o  ,"Desirable between 2016 Feb. 25-Mar. 26.  At the first date, object will be within 60 deg of the sun.",0.00122575441378
50,3528062,100f42b0-fe92-49a7-b82a-e40be8c6f592,23:56:50.19,1:05:45.9,22.8334999084,  (7243) 1990 VV3        ,23 56 42.8 ,+01 06 20  ,16.7   ,1.8W   ,0.6N    ,25-    , 8-  , 18o  ,None needed at this time.,0.000562174800895
51,3528062,100f42b0-fe92-49a7-b82a-e40be8c6f592,23:56:50.19,1:05:45.9,22.8334999084,(417372) 2006 GD47       ,23 56 57.2 ,+01 03 56  ,21.3   ,1.8E   ,1.8S    ,22-    ,12-  ,  7o  ,None needed at this time.,0.000737340858004
52,3651570,100f42b0-fe92-49a7-b82a-e40be8c6f592,23:55:56.87,0:58:51.3,23.2766990662,(321678) 2010 DY42       ,23 55 44.4 ,+01 01 03  ,20.9   ,3.1W   ,2.2N    ,11-    , 5-  , 11o  ,None needed at this time.,0.00110896243051
53,3281014,137ef3bd-b31e-439d-bb8c-6a1c144877cd,23:52:16.97,2:03:56.0,21.9390983582,(370778) 2004 RL356      ,23 52 21.9 ,+02 00 48  ,20.3   ,1.2E   ,3.1S    ,30-    ,12-  ,  7o  ,None needed at this time.,0.000979343751654
54,2177935,137ef3bd-b31e-439d-bb8c-6a1c144877cd,23:51:22.91,1:59:53.1,19.2250995636,(224408) 2005 UT322      ,23 51 23.0 ,+01 59 54  ,19.6   ,0.0E   ,0.0N    ,17-    ,21-  ,  8o  ,None needed at this time.,7.8627880081e-06
55,2177935,137ef3bd-b31e-439d-bb8c-6a1c144877cd,23:51:22.91,1:59:53.1,19.2250995636,(374819) 2006 UT124      ,23 51 15.7 ,+01 57 11  ,21.0   ,1.8W   ,2.7S    ,28-    ,12-  ,  5o  ,None needed at this time.,0.000944565018307
